CUIL1,CUIL2,SYMPTOM,DATE_END
20439209969,20439208869,Fiebre,3-MAY-2020~14:00:00,Escobar
20439209969,27548654219,Fiebre,3-MAY-2020~14:00:00,Escobar
20439208869,20419234851,Fiebre,4-MAY-2020~22:00:00,Escobar
27548654219,27123542912,Fiebre,5-MAY-2020~5:00:00,Escobar
27548654219,20673918456,Fiebre,5-MAY-2020~5:00:00,Escobar
20439209969,20439208869,Escalofrios,3-MAY-2020~14:00:00,Escobar
20439209969,27548654219,Escalofrios,3-MAY-2020~14:00:00,Escobar
20439208869,20419234851,Escalofrios,4-MAY-2020~22:00:00,Escobar
27548654219,27123542912,Escalofrios,5-MAY-2020~5:00:00,Escobar
27548654219,20673918456,Escalofrios,5-MAY-2020~5:00:00,Escobar
